"more presumptious","pió presuntuoso"
"Make sure your parameters and presets can support mid-elevation, very low rainfall, non-freezing areas.  ","Assicurati che parametri e predefiniti siano in grado di supportare aree di quota media, con precipitazioni molto scarse e non gelate. "
"Bad script! #2","Brutta storia! #2"
"I was in a snow storm.","Ero in una tempesta di neve."
" property was confiscated"," beni sono stati confiscati"
"Geld ","Castra "
"Somebody up to no good...","Qualcuno sta tramando qualcosa di brutto..."
"You unyield","Tu non cedi"
"medicine:method:surgery incision","medicina:metodo:chirurgia incisione"
"It is still shrouded in mystery.  ","‘ ancora avvolto nel mistero.  "
"worship","culto"
"the Duel","il Duello"
"I brought up the lack of jobs in a meeting.","Ho parlato della mancanza di posti di lavoro in una riunione."
"Crossbowman","Balestriere"
"prefers to present ","preferisce presentare "
" been stunned again!"," stordito di nuovo!"
"Activity section change","Modifica della sezione attivitÖ"
"Cage Vermin","Ingabbia Animale dannoso"
"I killed somebody in a sparring accident.","Ho ucciso qualcuno in un incidente di pugilato."
"I have been so wronged!","Ho subito un tale torto!"
"has a long, thin body with very little fat","ha un corpo lungo ed esile con pochissimo grasso"
" shot and killed "," colpito e ucciso "
"Austere","Austero"
" fighting with "," lottando con "
"It is a","‘ un"
" (quantitative "," (quantitativo "
"the area around ","l'area intorno a "
"Balancing","Bilanciamento"
"has a short, broad body with very little fat","ha un corpo basso e ampio con pochissimo grasso"
"mottled ","screziato "
"autobiography","autobiografia"
"(Wrestling) Cannot break grip","(Lotta) Impossibile interrompere la presa"
"Choose Y: ","Scegli Y: "
"Here you can interact with the objects you are carrying.  Items can be dropped, worn, eaten, thrown, named, etc.  The icon tooltips describe your options for each item.  ","Qui puoi interagire con gli oggetti che stai trasportando. Gli oggetti possono essere lasciati cadere, indossati, mangiati, lanciati, rinominati, ecc. Le descrizioni delle icone illustrano le opzioni disponibili per ciascun oggetto. "
"the use of a grid system in the creation of maps","l'uso di un sistema a griglia nella creazione delle mappe"
"believes that those that take leisure time are evil and finds the whole idea disgusting","crede che coloro che si prendono del tempo libero siano malvagi e trova l'intera idea disgustosa"
"2 lost after mutual wounds","2 persi dopo ferite reciproche"
"Outraged","Adirato"
"Perfectionist","Perfezionista"
"use","usa"
" was offered"," ä stato offerto"
"Cannot generate random creatures -- missing body ","Impossibile generare creature casuali -- manca il corpo "
" is written from the perspective of "," ä scritto dalla prospettiva di "
"Lever Operation","Operazione della leva"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","Devi avere almeno tanti di questi punti vulcanismo pió alti quanti sono i vulcani richiesti.  "
"Site Government","Governo del sito"
"a barrow","un carretto"
"Skill 5","AbilitÖ 5"
"distracted by unmet needs","distratto dai bisogni insoddisfatti"
"Plant gatherers","Raccoglitori di piante"
"The selected workshop will give items to here.","La bottega selezionata darÖ gli oggetti qui."
"less assertive","meno assertivo"
"It was great.","‘ stato grandioso."
" part of the problem."," parte del problema."
"The view is dark underground.  You can recenter on yourself with the ","La vista ä oscura nel sottosuolo.  ‘ possibile rincentrarsi su sÇ stessi col tasto "
"Assign uniform","Assegna divisa"
"dining hall","sala da pranzo"
"No orders","Nessun ordine"
"the computation of the volume of different pyramids","il calcolo del volume di diverse piramidi"
"Absolute zero","Zero assoluto"
"right here","proprio qui"
"Storage path decrease (barrel combine)","Diminuzione del flusso di stoccaggio (abbinamento dei barili)"
"a noted murderer","un noto omicida"
" Ice Floor"," Pavimento di ghiaccio"
"Insanity","Pazzia"
"Close friend","Caro amico"
"Toggle whether the squad will sleep here.","Decidi se la squadra dormirÖ qui."
"Just think about it.","Pensaci."
" Upward Track (SEW)"," Binario in Su (SEO)"
"What will you say about the journey?","Cosa dirai riguardo al viaggio?"
"losing ","perdendo "
"Amount of ","QuantitÖ di "
"short","basso"
"a pretty decent meal","un pasto abbastanza decente"
"be jumpy","essere nervosi"
"Slam into an obstacle (blow apart)","Sbattere contro un ostacolo (saltare in aria)"
"time","tempo"
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","Ogni [C:6:0:0]Fermata dei binari[C:7:0:0] dev'essere collegata a una [C:6:0:0]Scorta[C:7:0:0] per [C:6:0:1]Oggetti[C:7:0:0] da mettere o togliere dal [C:6:0:1]Carrello da miniera[C:7:0:0]."
"Initiation","Iniziazione"
"Glowing Floor","Pavimento luminoso"
"being frozen solid","stato congelato"
"jewels","gioielli"
"Z Levels Above Ground","Z Livelli In Superficie"
"Sand Collection","Raccolta di Sabbia"
"fighting!","lottando!"
"Loading flow guides...","Caricamento delle guide di flusso..."
"Burned up in magma","Bruciato nel magma"
"How fleeting life is...","Quant'ä fugace la vita..."
"slayer in incident","uccisore in incidente"
"There are not enough cages and chains.","Non ci sono abbastanza gabbie e catene."
"played","suonata"
"livestock ownership","possesso di bestiame"
"Fell into a deep chasm","Caduto in un abisso profondo"
"very large","molto grande"
"certain lines ","certe righe "
"A migrant has arrived, despite the danger.","Un migrante ä arrivato, nonostante il pericolo."
"blissful","deliziato"
"feels helping others is an imposition on ","ritiene che aiutare gli altri sia un'imposizione sul "
"fortresses","fortezze"
"Highest known in organization","Il pió noto nell'organizzazione"
"become softer and softer","diventare sempre pió morbidi"
"Minor River: ","Fiume minore: "
"that a criminal could not be properly punished","che un criminale non puï essere adeguatamente punito"
"Harrowed","Straziato"
"New parameter set","Nuovo set di parametri"
"When necessary","Quando necessario"
"the Gamble","la Scommessa"
"not having any rooms","non avere stanze"
"nasal","nasale"
"Not appointed","Non designato"
"Dangerous terrain","Terreno pericoloso"
"mathematics:notation:early symbols for operations","matematica:notazione:primi simboli per le operazioni"
"Sixth","Sesto"
"No food to cook or brew (are you in trouble?)","Nessun cibo da cucinare o preparare (sei nei guai?)"
" goes"," va"
"I conducted an official meeting in a bedroom.","Ho condotto una riunione ufficiale in una camera da letto."
"thick","spesso"
"pasture","pascolo"
"Early afternoon","Primo pomeriggio"
"closed","chiuso"
"Shield User","Utilizz. di Scudi"
"The musician blows across a hole in the side of each pipe","Il musicista soffia attraverso un foro sul lato di ciascun tubo"
"Winter has arrived on the calendar.","L'inverno ä arrivato sul calendario."
"right kicks","calci destri"
" has given birth to "," ha dato vita a "
"the Ghost","il Fantasma"
"That's wrong.","‘ sbagliato."
" couldn't be much worse."," non potrebbe essere peggiore."
"Concealment","Occultamento"
"Dead Grass Upward Slope","Pendenza d'Erba Morta in su"
"Deity","DivinitÖ"
" accepts our tribute"," accetta il nostro tributo"
" by a dead sibling"," da un fratello morto"
"to request work","per richiedere il lavoro"
"the clash between ","lo scontro tra "
"dreams of falling in love","sogna di innamorarsi"
"is has large muscles on a incredibly broad body","ha grossi muscoli su un corpo incredibilmente ampio"
"(Combat) Gain/lose possession of item","(Combattimento) Ottenere/perdere il possesso di un oggetto"
"You do not have a free grasp.","Non hai una presa libera."
"Workers ignore minerals","I lavoratori ignorano i minerali"
"Ice Upward Track (NE)","Ghiaccio Binario in Su (NE)"
"Gear assembly","Gruppo ingranaggi"
"I am very hopeful.","Sono molto speranzoso."
"Tropical Moist Broadleaf Forest","Foresta tropicale umida di latifoglie"
"northeastern","nord-orientale"
"Slate","Ardesia"
"Remove this work order.","Rimuovi quest'ordine di lavoro."
"blows ","soffia "
"is quite polite","ä abbastanza educato"
" merchant company from "," compagnia di mercanti da "
" Swimming Preference"," Preferenza per il nuoto"
"No workers","Nessun lavoratore"
"This is your deceased spouse.","Questo ä il tuo defunto coniuge."
"florid","florido"
"Grab Ammunition for Building","Prendi Munizioni per l'Edificio"
"Critical Thinker","Pensatore critico"
"philosophy:epistemology:justification","filosofia:epistemologia:giustificazione"
"finds the acquisition and use of power abhorrent and would have all masters toppled","trova ripugnante l'acquisizione e l'uso del potere e vorrebbe che tutti i padroni venissero rovesciati."
"is long and thin with strong muscles","ä lungo ed esile, con muscoli possenti"
"-Trained-","-Addestrato-"
"Persecution of ","Persecuzione di "
"the sound of ","il suono di "
"feeling alienated","si sente alienato"
"west","ovest"
"items","oggetti"
"Scraping","Raschiamento"
"feeling servile","sentirsi servile"
"This creature can be found in ","Questa creatura puï essere trovata in "
"don't always receive a reply immediately.  The words of people that are talking to you will be highlighted.  ","non sempre ricevi una risposta immediata. Le parole delle persone che ti stanno parlando saranno evidenziate. "
"caught in freakish weather","intrappolato da fenomeni naturali"
"the acquisition of a copy of ","l'acquisizione di una copia di "
" justly slew "," giustamente ucciso "
"You failed to compose anything.","Non sei riuscito a comporre nulla."
"I don't have enough armor stands.","Non ho abbastanza supporti per armature."
"a very good","un ottimo"
"the fighting","la battaglia"
"a sum of patience","un po' di pazienza"
"Method","Metodo"
"Ice Track (S)","Binario di Ghiaccio (S)"
"claimed artifact given away","manufatto rivendicato e regalato"
" was confiscated"," ä stato confiscato"
"Select this option and any unassigned deceased pets will be buried here automatically.","Selezionando questa opzione, gli animali domestici deceduti non assegnati saranno sepolti automaticamente qui."
"There are many ways to maintain your citizens. ","Ci sono molti modi per provvedere ai tuoi cittadini. "
"metalcrafter","artigiano del metallo"
"infamous flatterer","famigerato adulatore"
"No longer overwhelmed","Non pió sopraffatto"
"philosophy:metaphysics:causation","filosofia:metafisica:causazione"
"Attempted to set world gen presets prior to dimensions","Tentando d'impostare i predefiniti di gen mondo prima delle dimensioni"
" on a "," su un "
"Pressure Plate","Piastra a pressione"
"Melt a metal object","Fondi un oggetto metallico"
"For lyrics, the composer has selected ","Per i testi, il compositore ha scelto "
"heavy object hauler","trasportatore di oggetti pesanti"
"the purchase of ","l'acquisto di "
"Armor User","Utilizzo di armatura"
"somewhere","da qualche parte"
"Good with language","Bravo nel linguaggio"
"Frozen Elsewhere","Congelato altrove"
"to provide opportunities for courage to rise","per fornire opportunitÖ per far emergere il coraggio"
"Stockpiles can be placed using the stockpile menu at the bottom of the screen.","Le scorte possono essere posizionate tramite il menó ""scorte"" nella parte bassa dello schermo."
