"more presumptious","더 주제넘은"
"There are not enough cages and chains.","우리와 사슬이 충분하지 않습니다."
"played","연주"
"livestock ownership","가축 소유권"
"Fell into a deep chasm","깊은 수렁에 빠졌다"
"very large","매우 큰"
"certain lines ","특정 라인 "
"A migrant has arrived, despite the danger.","위험에도 불구하고 이민자가 도착했습니다."
"blissful","더없이 행복한"
"feels helping others is an imposition on ","다른 사람을 돕는 것이 의무라고 생각합니다. "
"fortresses","요새"
"Highest known in organization","조직에서 가장 잘 알려진"
"become softer and softer","점점 부드러워지다"
"Minor River: ","마이너 리버: "
"that a criminal could not be properly punished","범죄자를 제대로 처벌할 수 없다."
"Harrowed","괴롭힘"
"New parameter set","새 매개변수 세트"
"the Gamble","도박"
"not having any rooms","방이 없다"
"nasal","비강"
"Not appointed","임명되지 않음"
"Dangerous terrain","위험한 지형"
"mathematics:notation:early symbols for operations","수학:표기법:초기 연산 기호"
"Sixth","여섯번째"
" goes"," 간다"
"I conducted an official meeting in a bedroom.","침실에서 공식 회의를 진행했습니다."
"thick","두꺼운"
"pasture","목장"
"Early afternoon","낮즈음"
"closed","닫은"
"Shield User","방패술"
"The musician blows across a hole in the side of each pipe","음악가는 각 파이프의 측면에 있는 구멍을 가로질러 불고 있습니다."
"Winter has arrived on the calendar.","겨울이 달력에 도달했다."
"right kicks","오른쪽 차기"
" has given birth to "," 를 낳았다 "
"the Ghost","귀신"
"That's wrong.","그건 틀렸어요."
" couldn't be much worse."," 이보다 더 나쁠 수는 없습니다."
"Concealment","은폐"
"Dead Grass Upward Slope","죽은 풀 상향 슬로프"
"Deity","신"
" accepts our tribute"," 우리의 공물을 받아들입니다"
" by a dead sibling"," 죽은 형제에 의해"
"to request work","일을 요청하다"
"the clash between ","사이의 충돌 "
"dreams of falling in love","사랑에 빠지는 것이 소망입니다"
"is has large muscles on a incredibly broad body","엄청나게 넓은 몸에 큰 근육을 가지고 있습니다."
"Workers ignore minerals","노동자는 미네랄을 무시"
"Ice Upward Track (NE)","아이스 업워드 트랙(NE)"
"Gear assembly","동력전달 기어"
"I am very hopeful.","나는 매우 희망적이다."
"northeastern","북동쪽"
"Slate","점판암"
"Remove this work order.","이 작업 지시를 제거하십시오."
"blows ","불면 "
"is quite polite","아주 예의 바르다."
" merchant company from "," 에서 상인 회사 "
"No workers","근로자 없음"
"Grab Ammunition for Building","건축자재 챙기기"
"Critical Thinker","비판적 사상가"
"philosophy:epistemology:justification","철학:인식론:정당화"
"finds the acquisition and use of power abhorrent and would have all masters toppled","권력의 획득과 사용을 혐오스러워 하며 모든 권력자를 쓰러뜨릴 것입니다."
"is long and thin with strong muscles","길고 가늘고 강한 근육"
"-Trained-","-훈련됨-"
"Persecution of ","박해 "
"the sound of ","~의 소리 "
"feeling alienated","소외감"
"west","서쪽"
"items","항목"
"Scraping","스크래핑"
"feeling servile","비굴한 느낌"
"caught in freakish weather","변덕스러운 날씨에 사로잡힌"
"the acquisition of a copy of ","의 사본 취득 "
" justly slew "," 정당하게 죽였다 "
"I don't have enough armor stands.","방어구 거치대가 부족합니다."
"a very good","아주 좋은"
"the fighting","싸움"
"a sum of patience","쓸만한 인내심"
"Method","방법"
"Ice Track (S)","아이스 트랙(S)"
"claimed artifact given away","소유권이 주장된 유물이 주어짐"
" was confiscated"," 압수되었다"
"Select this option and any unassigned deceased pets will be buried here automatically.","이 옵션을 선택하면 지정되지 않은 죽은 애완동물이 자동으로 이곳에 묻힙니다."
"There are many ways to maintain your citizens. ","시민을 유지하는 방법에는 여러 가지가 있습니다. "
"metalcrafter","금속공예가"
"infamous flatterer","악명 높은 아첨꾼"
"no","아니요"
"philosophy:metaphysics:causation","철학:형이상학:인과"
"Attempted to set world gen presets prior to dimensions","치수보다 먼저 세계 생성 사전 설정을 시도했습니다."
" on a "," 에 "
"Pressure Plate","압력판"
"Melt a metal object","금속 물체 녹이기"
"For lyrics, the composer has selected ","가사는 작곡가가 선택한 "
"heavy object hauler","무거운 물체 운반자"
"the purchase of ","구입 "
"Armor User","갑옷술"
"somewhere","어딘가에"
"Good with language","언어에 능숙함"
"Frozen Elsewhere","다른 곳에서 얼어붙음"
"to provide opportunities for courage to rise","용기를 북돋을 수 있는 기회를 제공하기 위해"
"Stockpiles can be placed using the stockpile menu at the bottom of the screen.","화면 하단의 비축 메뉴를 사용하여 비축량을 배치할 수 있습니다."
" currency of "," 의 통화 "
"to make a counter-assertion","반론을 제기하다"
" in war if the latter did likewise."," 후자가 똑같이했다면 전쟁에서."
"has a thin body with almost no fat on it","지방이 거의 없는 날씬한 몸매"
" skill: "," 기술: "
"a skilled bard","숙련된 음유시인"
"passing through a hole in the ","구멍을 통과한다: "
"Train (to make a pet) or slaughter","훈련(애완동물을 만들기 위해) 또는 도살"
"the sword","칼"
"The battle rages...","전투가 격렬해집니다..."
"Research","연구"
"position","위치"
"Noted villain","저명한 악당"
"would be very thin but has opted for some muscle and fat","매우 얇지만 약간의 근육과 지방을 선택했습니다."
"for each month, line up with your chosen routine, go down the column, and press edit on the ","월별로 다른 순서를 지정하려면 선택한 루틴을 정렬하고 열 아래로 이동한 다음 해당 월에 정렬된 순서에서 편집을 누르세요. "
"a piece","한 조각"
" doesn't really care about anything anymore.  "," 더 이상 아무것도 신경 쓰지 않는다. "
"Lava Mist","용암 증기"
"Temperate","온대"
"No commanders","지휘관 없음"
" one of the first of "," 의 첫 번째 중 하나 "
"infamous bully","악명 높은 불량배"
"by pressing valves to route air through different tube","다른 튜브를 통해 공기를 라우팅하기 위해 밸브를 눌러"
"Ice Downward Track (NE)","얼음 하향 트랙(NE)"
"Ahhhhhhh!  No!","아아아아! "
" received"," 받았다"
"contemplating ","심사숙고하는 "
" ended the days of "," 의 날들을 끝냈다 "
" own mortality and sought to extend "," 자신의 죽음과 연장을 추구 "
"It really is a pleasure to speak with you again.","당신과 다시 이야기하게 되어 정말 기쁩니다."
" console"," 콘솔"
"Making Maps","지도 만들기"
"Only one condition needs to be satisfied for the [C:6:0:1]Minecart[C:7:0:0] to move to the next [C:6:0:0]Track Stop[C:7:0:0].","광산 수레가 다음 트랙 정거장으로 이동하려면 한 가지 조건만 충족하면 됩니다."
"Furnace","노"
"Smelt ","빙어 "
"the Mystery","신비"
"Place stockpiles for item storage.","물건 보관을 위한 저장구역을 배치합니다."
"laughing","웃음을 터뜨리는"
"Animal traps can be placed in the wild and baited with meat, plants, or gems, in order to catch small creatures.","동물 함정은 작은 생물을 잡기 위해 고기, 식물 또는 보석으로 미끼를 달아서 설치할 수 있습니다."
"blocks... bricks...","블록... 벽돌..."
"distillation","증류"
"Rebuilding more temporary information...","추가 임시 정보 재구축 중..."
" chops"," 갈비"
"Station","위치사수"
"many nerves","많은 신경"
"Former slave","전직 노예"
"military ethics","군사 윤리"
" laughs loudly when "," 때 크게 웃는다 "
"hunting animal","사냥 동물"
" couplet"," 이행 연구"
"chefs","요리사"
"This creature is assigned to a specific workshop.","이 생물은 특정 작업장에 배정됩니다."
"engineering:horology:conical water clock","공학:시계학:원추형 물시계"
"specific shield","특정 방패"
"Is that a weapon?","저건 무기인가?"
"I cannot find hope.","희망을 찾을 수 없습니다."
"desert","사막"
"Audio has been manually disabled.","오디오가 수동으로 비활성화되었습니다."
"ambush of","의 매복"
"You can be powerful or powerless.  The choice is yours, until somebody makes it for you.","당신은 강력할 수도 있고 힘이 없을 수도 있습니다. 선택은 당신에게 달렸어요. 누군가 당신을 위해 만들어 줄 때까지요."
"geography:surveying:staff","지리:측량:직원"
" surroundings again."," 주변을 둘러보다."
"I am not feeling sad right now.","나는 지금 슬퍼하지 않습니다."
"has a broad body bearing impressive muscles and a great load of fat","인상적인 근육과 많은 지방을 지닌 넓은 몸을 가지고 있습니다."
"the Depths","깊이"
"Grieving","비통해하는"
"discourse on the nature of beauty","아름다움의 본질에 대한 담론"
"Blacksmithing","대장장이업"
"The whole idea of loyalty is pointless.  Acting purely out of loyalty implies acting against one's own best interest.","충성심에 대한 모든 생각은 무의미합니다. 순전히 충성심 때문에 행동하는 것은 자신의 최선의 이익에 반하는 행동을 의미합니다."
"were","~이었다"
"North and/or South","북쪽 및/또는 남쪽"
"The group","그룹"
"Assign a patrol order.  The soldiers will walk a specified route repeatedly.","순찰 순서를 지정합니다. 군인들은 지정된 경로를 반복적으로 걸을 것입니다."
"an iffy memory","불확실한 기억력"
" go to "," 이동 "
"the Body","몸"
"elemental materials","원소 재료"
"Joyous Wilds","조이어스 와일드"
"Trade Information:","거래 정보:"
"No dedicated workshop assignments","전용 작업장 배정하지 않음"
"have similar grammatical structures","문법 구조가 비슷하다"
"goods","상품"
"non-artifact ","인공물이 아닌 것 "
"with extending ","연장으로 "
"A single note in the fundamental scale is named.  ","기본 음계의 단일 음표에 이름이 지정됩니다. "
"Ice Upward Stairway","얼음 위로 올라가는 계단"
"Probably on the move or deep underground, but I can't be sure.","아마도 이동 중이거나 지하 깊숙한 곳일 것입니다. 하지만 확실하지 않습니다."
"salt","소금"
"I'm elated.","나는 기뻐요."
" by appealing to a shared worship of "," 공동예배에 호소함으로써 "
"been claimed by","점거되었다"
"Designate constructed walls, floors, and other constructed tiles to be removed by miners.  This also designates all stairwells and ramps.","제거할 건설된 벽, 바닥 및 기타 건설된 타일을 지정합니다. 이것은 또한 모든 계단통과 경사로를 지정합니다."
"The bucket is full.","양동이가 가득 찼습니다."
