"major","comandante"
"You first heard this ","Escuchaste esto por primera vez "
"This is common knowledge where you are from.","Esto es de conocimiento com£n en el lugar de donde eres."
"writing","escribiendo"
"Writing","Escribir"
" Given"," Dado"
" Dropped"," Solt¢"
"me","yo"
"/You","/T£"
" you"," t£"
"Artifact","Artefacto"
" Destroyed"," Destruido"
" Held"," Sostuvo"
" Gained"," Ganado"
" Denied"," Denegado"
"rescue","rescate"
"reunion","reuni¢n"
"Reunion","Reuni¢n"
"Reunion/","Reuni¢n/"
"death","muerte"
"Death/You","Muerte/T£"
"Death/","Muerte/"
"crime","crimen"
"production","producci¢n"
"order","orden"
"violation","violaci¢n"
"export","exportar"
"prohibition","prohibici¢n"
"job","tarea"
"conspiracy","conspiraci¢n"
"slow","lento"
"Murder","Asesinato"
"murder","asesinato"
"Disorder","Trastorno"
"disorderly","desordenado"
"conduct","conducta"
"building","edificio"
"destruction","destrucci¢n"
"Bribery","Soborno"
"Embezzlement","Malversaci¢n"
"Vandalism","Vandalismo"
"Theft","Hurto"
"theft","hurto"
"Robbery","Robo"
"robbery","robo"
"Espionage","Espionaje"
"espionage","espionaje"
"Treason","Traici¢n"
"treason","traici¢n"
"Blood-drinking","Beber-sangre"
"blood","sangre"
"drinking","bebiendo"
"kidnapping","secuestro"
"snatching","arrebatando"
"performance","actuaci¢n"
"Performance","Actuaci¢n"
"Sermon/","Serm¢n/"
"Performance/","Rendimiento/"
"a poem","un poema"
"music","m£sica"
"dance","baile"
"refuse","rechazar"
"demand","demanda"
"submission","propuesta"
"fight","luchar"
"Attack/","Ataque/"
"Escalation/","Escalada/"
"succession","sucesi¢n"
"leader","lider"
"presence","presencia"
"Beast/","Bestia/"
"Group/","Grupo/"
"tribute","tributo"
"Tribute/","Tributo/"
"peace","paz"
"Peace/","Paz/"
"claim","afirmar"
"harassment","hostigamiento"
"Harass/","Acosar/"
"withdrawal","retiro"
"Leave/","Dejar/"
"refugees","refugiados"
"flight","vuelo"
"Flee/","Huir/"
"Abandon/","Abandonar/"
"insurrection","insurreccion"
"Insurrection","Insurrecci¢n"
"crushed","aplastado"
"defeat","fracaso"
"Crushed","Aplastado"
"failure","fallo"
"Failed","Fallido"
"overthrow","derrocamiento"
"revolution","revoluci¢n"
"Overthrow","Derrocamiento"
"reclaim","reclamar"
"Reclaimed/","Reclamado/"
"Founded/","Fundado/"
"Reclaiming/","Reclamando/"
"Founding/","Fundando/"
"march","marcha"
"invasion","invasi¢n"
"Invasion/","Invasi¢n"
"occupation","ocupacion"
"Occupation/","Ocupaci¢n/"
"abduction","secuestro"
"kidnap","raptar"
"Abduction/You","Secuestro/T£"
"Abduction/","Secuestro"
"Artifact/","Artefacto/"
"No Artifact/","No Artefacto/"
"Done: ","Hecho: "
"Insurrection with ","Insurrecci¢n con "
"Guided by ","Guiado por "
"Rescue ","Rescatar "
"Aid rescue with ","Rescate de ayuda con "
"Adventure with ","Aventura con "
"The bound service of","El servicio obligado de"
"Entertain people with ","Entretener a la gente con "
"We should have made it there by now.","Deber¡amos haber llegado ya."
"We should be making better progress.","Deber¡amos avanzar m s."
"We are going the wrong way.","Vamos por el camino equivocado."
"We haven't performed for some time.","Hace tiempo que no actuamos."
"We have arrived at our destination.","Hemos llegado a nuestro destino."
"The oppressor has been overthrown!","­Se ha derrocado al opresor!"
"We must not abandon ","No debemos abandonar "
"We must go back.","Debemos volver."
"Empty announcement ","Anuncio vac¡o "
"spinning ","girando "
"flying ","volando "
"It","Eso"
", but it is deflected by ",",pero es desviado por "
" by the "," por el "
" in the "," en el "
" from behind"," por detr s"
" from the side"," desde el lado"
" with "," con "
", but the attack is deflected by ",",pero el ataque es desviado por "
"The geldables have been torn away!","­Los castrados han sido arrancados!"
", lightly tapping the target!",",­Golpeando ligeramente el objetivo!"
", but there is no force!",",­pero no hay fuerza!"
", but it passes right through!",",­Pero lo atraviesa!"
", but the attack passes right through!",",­pero el ataque lo atraviesa!"
", but it glances away!",",...­pero mira hacia otro lado!"
", but the attack glances away!",",­pero el ataque se desv¡a!"
" and the severed part sails off in an arc!"," ­y la parte cortada sale volando en un arco!"
"the part","la parte"
" is smashed into the body, an unrecognizable mass!"," se estrella contra el cuerpo, ­una masa irreconocible!"
" splits in gore!"," ­se divide en gore!"
" collapses!"," ­se derrumba!"
"the injured part","la parte lesionada"
" is ripped into loose shreds!"," ­se rompe en pedazos sueltos!"
" is torn apart!"," ­est  destrozado!"
" and it is mostly cut away from the rest of the torso!"," ­y est  casi separado del resto del torso!"
" is cloven asunder!"," ­est  partido en dos!"
" explodes into gore!"," ­Explosiona en sangre!"
" collapses into a lump of gore!"," ­se derrumba en un trozo de sangre!"
" is crushed!"," ­est  aplastado!"
"tearing","desgarro"
"tearing apart","desgarramiento"
"shattering","rompiendo"
"chipping","astillado"
"fracturing","fracturaci¢n"
"denting","abolladura"
"bruising","moretones"
" it"," es"
" apart"," aparte"
" and"," y"
" tearing apart"," Destrozando"
" shattering"," aplastante"
" tearing"," desgarro"
" chipping"," astillado"
" fracturing"," fracturando"
" denting"," abolladura"
" bruising"," hematomas"
" through a hole in the "," a trav‚s de un agujero en el "
"main part","parte principal"
"passing through a hole in the ","pasando a trav‚s de un agujero en el "
"jamming the","bloqueando el"
" part"," pieza"
"through the ","a trav‚s de la "
"out of the wound","de la herida"
"breaking away","ruptura"
" most of"," la mayor¡a de"
" half of"," la mitad de"
" a piece of"," un trozo de"
" the rest of"," el resto de"
" through the "," a trav‚s de la "
" and spilling "," y derramando "
"your","su"
"rancid","rancio"
"decomposing","descomponiendo"
"rotten","podrido"
"fetid","f‚tido"
"foul","falta"
"reeking","apestoso"
"filthy","asqueroso"
"stinking","apestoso"
"It is a gelding strike!","­Es un golpe de castrado!"
"It is a gelding blow!","­Es un golpe castrado!"
"a major artery","una arteria principal"
"an artery","una arteria"
" has been opened by the attack"," se ha abierto por el ataque"
"many nerves","muchos nervios"
"a motor nerve","un nervio motor"
"a sensory nerve","un nervio sensitivo"
"have","tienen"
"has","tiene"
" been severed"," ha sido cortado"
" has been "," ha sido "
"torn","rasgado"
"sprained","torcedura"
"bruised","magullado"
"a tendon","un tend¢n"
"strained","colado"
" is ripped to shreds!"," ­est  hecho trizas!"
" breaks!"," ­Rompe!"
" attack is interrupted!"," ­ataque interrumpido!"
" have"," tener"
" has"," tiene"
" become enraged!"," ­Enfurece!"
" has lodged firmly in the wound!"," ­se ha alojado firmemente en la herida!"
" latch on firmly"," enganche firmemente"
" latches on firmly"," se cierra firmemente"
" latch on firmly!"," ­Ag rrate fuerte!"
" latches on firmly!"," se engancha firmemente"
" are"," son"
" is"," es"
" propelled away by the force of the blow!"," ­impulsado por la fuerza del golpe!"
" been knocked unconscious!"," ­ha quedado inconsciente!"
" been stunned again!"," ­de nuevo aturdido!"
" been stunned!"," ­me he quedado aturdido!"
" having more trouble breathing!"," ­teniendo m s problemas para respirar!"
" having trouble breathing!"," ­con problemas para respirar!"
" feel"," siente"
" looks"," mira"
" even more sick!"," ­a£n m s enfermo!"
" sick!"," ­Enfermo!"
" is injected into the "," se inyecta en el "
" pours over the "," vierte sobre el "
" flows over the "," fluye sobre el "
" splatters over the "," salpica sobre el "
" crumbles over the "," se desmorona sobre el "
" is sucked out of the wound!"," ­es succionado de la herida!"
"All","Todos"
"Date: ","Fecha: "
" is "," es "
"hunting.","cazando."
"sparring.","enfrentamiento"
"fighting!","combate!"
"Unit report tabs","Fichas de informes de unidad "
" (Tame)"," (Domado)"
"with ","con "
" item"," objeto"
"Independent","independiente"
"No team/side","Ning£n equipo"
"Side #","Lado #"
"Create","Crear"
"Reset","reiniciar"
"Conditions","Condiciones"
"Equipment","Equipamiento"
"Skills","habilidades"
"Creature","Criatura"
"Tame/mountable","domesticado/montable"
"Not","No"
"The force twists the ","La fuerza tuerce el "
" year"," a¤os"
"My good friend.","Mi buen amigo."
"Set the weather, temperature, and time.","Configura el tiempo, la temperatura y la hora."
"No cumulus clouds","No hay c£mulos de nubes"
"Scattered cumulus","C£mulos dispersos"
"Many cumulus (rain)","Muchos c£mulos (lluvia)"
"Cumulonimbus (rain)","Cumulonimbos (lluvia)"
"Cirrus","Cirro"
"No stratus","No estrato"
"Altostratus","Altostratos"
"Stratus (rain)","Estrato (lluvia)"
"Nimbostratus (rain)","Nimbostratos (lluvia)"
"No fog","Sin niebla"
"Thin mist","Niebla fina"
"Fog","Niebla"
"Thick fog","Niebla espesa"
"Dragonfire","fuego de dragon"
"Scorching","Abrasador"
"Hot","Calor"
"Subterranean","subterr neo"
"Below freezing","Bajo cero"
"Deathly cold","Fr¡o mortal"
"Absolute zero","Cero absoluto"
"Morning","Ma¤ana"
"Late morning","Por la ma¤ana"
"Early afternoon","Temprano por la tarde"
"Late afternoon","Por la tarde"
"Early evening","Temprano por la tarde"
"Evening","Tarde"
"Night","Noche"
"Late night","Tarde en la noche"
"Early morning","Temprano por la ma¤ana"
"item","art¡culo"
" have returned."," han regresado."
" and others have returned."," y otros han regresado."
" has returned."," ha vuelto."
" has brought back many tales from beyond "," ha tra¡do muchas historias del m s all  "
" has brought back a few rumors."," ha tra¡do de vuelta algunos rumores."
" has brought back a rumor from abroad."," ha tra¡do un rumor del extranjero."
" has arrived."," ha llegado."
" is visiting."," est  de visita."
", the performance troupe, has arrived.","ha llegado la compa¤¡a de espect culos."
", a performance troupe, is visiting.",", una compa¤¡a de espect culos, est  de visita."
"I feel so glum.","Me siento muy triste."
"Spoils Report: ","Informe sobre el bot¡n: "
" and others"," y otros"
"Winter","Invierno"
"Autumn","Oto¤o"
"Summer","Verano"
"Spring","Primavera"
"You awaken from your slumber.","Te despiertas de tu letargo."
"""You will have to leave this structure first before you can travel.  Try to make your way out to the settlement.""","""Deber s dejar esta estructura antes de poder viajar. Intenta encontrar una manera de llegar al asentamiento."""
"The dead walk.  Hide while you still can!","Los muertos caminan. ­Esc¢ndete mientras puedas!"
"Forms twisted from their nature, legion of the night.  What hope remains?","Formas retorcidas de su naturaleza, legi¢n de la noche. ¨Qu‚ esperanza queda?"
"A vile force of darkness has arrived, seeking a parley!","­Una vil fuerza de la oscuridad ha llegado, buscando un encuentro!"
"The enemy have come and are preparing to lay siege.  They seek a parley!","El enemigo ha llegado y se prepara para sitiar. Buscan un encuentro."
"An army has come to your lands seeking a parley.","Un ej‚rcito ha llegado a tus tierras en busca de una negociaci¢n."
"A vile force of darkness has arrived!","­Una vil fuerza de la oscuridad ha llegado!"
"The enemy have come and are laying siege to the fortress.","El enemigo ha llegado y est  asediando la fortaleza."
"An army is invading!","­Un ej‚rcito est  invadiendo!"
"The army is commanded by ","El ej‚rcito est  comandado por "
", an ancient and horrible demon escaped from the underworld before the dawn of time",", un demonio antiguo y horrible que escap¢ del inframundo antes del amanecer del tiempo"
", a talented commander",", un comandante talentoso"
", a seasoned commander",", un comandante veterano"
", a competent commander",", un comandante competente"
", a ",", un "
"true warrior","verdadero guerrero"
"skilled warrior","h bil guerrero"
"middling warrior","guerrero mediocre"
"Beware their ","Cuidado con ellos "
"heavily-armored ","fuertemente blindado "
"armored ","blindado "
"elite ","Selecto "
"skilled ","h bil "
"mounted ","montado "
"With them ","con ellos "
"come monstrous siege engineers","venid monstruosos ingenieros de asedio"
"comes a ","viene un "
"come ","venir "
" from the "," desde el "
"invoke","invocar"
" Year"," a¤o"
"overlord","se¤or"
"overlords","se¤ores"
"Vengeance","Venganza"
" has been founded "," se ha fundado "
", has been conquered and",", ha sido conquistado y"
", has been",",ha sido"
" incorporated into your holdings."," incorporados a sus participaciones."
" has been conquered and now"," ha sido conquistada y ahora"
